variable,dataset,tipo,descripcion,unidad,aditiva_o_tasa,nivel_educativo,sector,ambito,posible_dimension_proyecto,observaciones_metodologicas
m_ultimo_1,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_2,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_3,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_4,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_5,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_6,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_7,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_8,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_9,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_10,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_11,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_12,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_1314,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_ultimo_20,trayectoria,Int64,Mujeres: Matricula al ultimo dia de clase en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_1,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_2,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_3,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_4,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_5,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_6,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_7,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_8,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_9,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_10,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_11,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_12,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_1314,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_20,trayectoria,Int64,Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_1,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_2,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_3,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_4,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_5,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_6,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_7,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_8,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_9,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_10,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_11,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_12,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_1314,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_20,trayectoria,Int64,Mujeres: Promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_1,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_2,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_3,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_4,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_5,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_6,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_7,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_8,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_9,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_10,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_11,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_12,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_1314,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_ex_20,trayectoria,Int64,Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_1,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_2,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_3,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_4,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_5,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_6,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_7,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_8,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_9,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_10,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_11,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_12,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_1314,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_ex_20,trayectoria,Int64,Mujeres: Promovidos en examen en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_1,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_2,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_3,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_4,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_5,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_6,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_7,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_8,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_9,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_10,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_11,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_12,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_1314,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
promovidos_mas_2mat_20,trayectoria,Int64,Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_1,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_2,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_3,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_4,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_5,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_6,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_7,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_8,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_9,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_10,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_11,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_12,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_1314,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
m_promovidos_mas_2mat_20,trayectoria,Int64,Mujeres: Promovidos con mas de dos materias en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_1,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_2,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_3,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_4,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_5,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_6,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_7,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_8,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_9,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_10,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_11,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
nopromo_12,trayectoria,Int64,No promovidos en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
